,Jahr,Kreis-Id, Stadt,Winterweizen
7,2025,07137,"      Mayen-Koblenz, Landkreis",77.4
9,2025,07140,      Rhein-Hunsrück-Kreis,86.1
10,2025,07141,      Rhein-Lahn-Kreis,86.7
11,2025,07143,      Westerwaldkreis,69.2
13,2025,07231,"      Bernkastel-Wittlich, Landkreis",70.7
14,2025,07232,      Eifelkreis Bitburg-Prüm,70.3
16,2025,07235,"      Trier-Saarburg, Landkreis",84.0
27,2025,07331,"      Alzey-Worms, Landkreis",74.3
29,2025,07333,      Donnersbergkreis,74.9
30,2025,07334,"      Germersheim, Landkreis",81.0
32,2025,07336,"      Kusel, Landkreis",63.4
33,2025,07337,"      Südliche Weinstraße, Landkreis",80.8
34,2025,07338,      Rhein-Pfalz-Kreis,73.4
35,2025,07339,"      Mainz-Bingen, Landkreis",76.1
36,2025,07340,"      Südwestpfalz, Landkreis",74.1
41,2024,07133,"      Bad Kreuznach, Landkreis",73.0
44,2024,07137,"      Mayen-Koblenz, Landkreis",67.0
46,2024,07140,      Rhein-Hunsrück-Kreis,65.5
47,2024,07141,      Rhein-Lahn-Kreis,71.1
48,2024,07143,      Westerwaldkreis,57.3
50,2024,07231,"      Bernkastel-Wittlich, Landkreis",61.2
51,2024,07232,      Eifelkreis Bitburg-Prüm,58.3
52,2024,07233,"      Vulkaneifel, Landkreis",53.0
53,2024,07235,"      Trier-Saarburg, Landkreis",76.8
64,2024,07331,"      Alzey-Worms, Landkreis",74.1
66,2024,07333,      Donnersbergkreis,79.6
67,2024,07334,"      Germersheim, Landkreis",71.0
69,2024,07336,"      Kusel, Landkreis",54.1
70,2024,07337,"      Südliche Weinstraße, Landkreis",64.5
71,2024,07338,      Rhein-Pfalz-Kreis,67.4
72,2024,07339,"      Mainz-Bingen, Landkreis",76.3
73,2024,07340,"      Südwestpfalz, Landkreis",54.4
78,2023,07133,"      Bad Kreuznach, Landkreis",69.7
79,2023,07134,"      Birkenfeld, Landkreis",51.7
81,2023,07137,"      Mayen-Koblenz, Landkreis",74.4
83,2023,07140,      Rhein-Hunsrück-Kreis,75.6
84,2023,07141,      Rhein-Lahn-Kreis,79.8
85,2023,07143,      Westerwaldkreis,70.7
87,2023,07231,"      Bernkastel-Wittlich, Landkreis",65.5
88,2023,07232,      Eifelkreis Bitburg-Prüm,65.2
90,2023,07235,"      Trier-Saarburg, Landkreis",77.2
101,2023,07331,"      Alzey-Worms, Landkreis",72.7
103,2023,07333,      Donnersbergkreis,70.2
104,2023,07334,"      Germersheim, Landkreis",73.7
106,2023,07336,"      Kusel, Landkreis",61.0
107,2023,07337,"      Südliche Weinstraße, Landkreis",81.1
108,2023,07338,      Rhein-Pfalz-Kreis,67.7
109,2023,07339,"      Mainz-Bingen, Landkreis",71.7
110,2023,07340,"      Südwestpfalz, Landkreis",60.8
115,2022,07133,"      Bad Kreuznach, Landkreis",75.7
118,2022,07137,"      Mayen-Koblenz, Landkreis",83.7
120,2022,07140,      Rhein-Hunsrück-Kreis,89.0
121,2022,07141,      Rhein-Lahn-Kreis,87.1
122,2022,07143,      Westerwaldkreis,72.2
124,2022,07231,"      Bernkastel-Wittlich, Landkreis",70.5
125,2022,07232,      Eifelkreis Bitburg-Prüm,70.9
127,2022,07235,"      Trier-Saarburg, Landkreis",71.7
138,2022,07331,"      Alzey-Worms, Landkreis",69.7
140,2022,07333,      Donnersbergkreis,70.0
141,2022,07334,"      Germersheim, Landkreis",76.5
143,2022,07336,"      Kusel, Landkreis",69.8
144,2022,07337,"      Südliche Weinstraße, Landkreis",78.0
145,2022,07338,      Rhein-Pfalz-Kreis,72.8
146,2022,07339,"      Mainz-Bingen, Landkreis",72.6
147,2022,07340,"      Südwestpfalz, Landkreis",75.4
