Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
2025;;;;;;;;;;;
07111;      Koblenz, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07131;      Ahrweiler, Landkreis;/;/;/;/;/;/;/;/;/;/
07132;      Altenkirchen (Westerwald), Landkreis;/;/;/;/;/;/;/;/;/;/
07133;      Bad Kreuznach, Landkreis;/;/;/;/;/;/;/;/;/;/
07134;      Birkenfeld, Landkreis;/;/;/;/;/;/;/;/;/;/
07135;      Cochem-Zell, Landkreis;/;/;/;/;/;/;/;/;/;/
07137;      Mayen-Koblenz, Landkreis;77,4;76,8;91,4;62,1;/;/;294,1;837,5;43,7;/
07138;      Neuwied, Landkreis;/;/;/;/;/;/;/;/;/;/
07140;      Rhein-Hunsrück-Kreis;86,1;/;83,8;69,2;/;86,2;/;/;42;/
07141;      Rhein-Lahn-Kreis;86,7;/;86,1;63,8;66,7;/;/;/;46,3;/
07143;      Westerwaldkreis;69,2;/;/;/;/;/;/;/;/;478,8
07211;      Trier, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07231;      Bernkastel-Wittlich, Landkreis;70,7;/;81,4;53,9;55;70,2;/;/;38,1;/
07232;      Eifelkreis Bitburg-Prüm;70,3;/;65,8;52,3;/;70,2;/;/;42,6;438,7
07233;      Vulkaneifel, Landkreis;/;/;/;/;/;/;/;/;/;/
07235;      Trier-Saarburg, Landkreis;84;/;74,6;57,2;67,4;76;/;/;47,9;/
07311;      Frankenthal (Pfalz), kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07312;      Kaiserslautern, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07313;      Landau in der Pfalz, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07314;      Ludwigshafen am Rhein, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07315;      Mainz, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07316;      Neustadt an der Weinstraße, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07317;      Pirmasens, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07318;      Speyer, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07319;      Worms, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07320;      Zweibrücken, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
07331;      Alzey-Worms, Landkreis;74,3;/;82,3;60,3;/;/;/;793,8;/;/
07332;      Bad Dürkheim, Landkreis;/;/;/;/;/;/;/;/;/;/
07333;      Donnersbergkreis;74,9;/;69,5;63,6;/;/;/;746,2;38;/
07334;      Germersheim, Landkreis;81;/;/;/;/;/;/;/;/;/
07335;      Kaiserslautern, Landkreis;/;/;/;/;/;/;/;/;/;/
07336;      Kusel, Landkreis;63,4;/;50,8;45,3;/;/;/;/;39,1;/
07337;      Südliche Weinstraße, Landkreis;80,8;/;/;/;/;/;/;749,7;/;/
07338;      Rhein-Pfalz-Kreis;73,4;/;/;/;/;/;/;/;/;/
07339;      Mainz-Bingen, Landkreis;76,1;/;76,3;61,8;/;/;/;779,5;/;/
07340;      Südwestpfalz, Landkreis;74,1;/;67;/;/;/;/;/;35,2;425,8
2024;;;;;;;;;;;
07111;      Koblenz, kreisfreie Stadt;.;.;.;.;.;.;.;.;.;.
