,Jahr,Kreis-Id, Stadt,Winterweizen
2,2025,08115,"      Böblingen, Landkreis",78.2
3,2025,08116,"      Esslingen, Landkreis",83.0
4,2025,08117,"      Göppingen, Landkreis",91.0
5,2025,08118,"      Ludwigsburg, Landkreis",71.7
6,2025,08119,"      Rems-Murr-Kreis, Landkreis",80.0
8,2025,08125,"      Heilbronn, Landkreis",83.3
9,2025,08126,"      Hohenlohekreis, Landkreis",76.8
10,2025,08127,"      Schwäbisch Hall, Landkreis",75.7
11,2025,08128,"      Main-Tauber-Kreis, Landkreis",66.6
12,2025,08135,"      Heidenheim, Landkreis",86.9
13,2025,08136,"      Ostalbkreis, Landkreis",81.6
16,2025,08215,"      Karlsruhe, Landkreis",69.5
17,2025,08216,"      Rastatt, Landkreis",74.2
20,2025,08225,"      Neckar-Odenwald-Kreis, Landkreis",71.6
21,2025,08226,"      Rhein-Neckar-Kreis, Landkreis",79.6
23,2025,08235,"      Calw, Landkreis",67.1
24,2025,08236,"      Enzkreis, Landkreis",86.6
25,2025,08237,"      Freudenstadt, Landkreis",81.6
27,2025,08315,"      Breisgau-Hochschwarzwald, Landkreis",86.4
28,2025,08316,"      Emmendingen, Landkreis",81.9
29,2025,08317,"      Ortenaukreis, Landkreis",76.0
30,2025,08325,"      Rottweil, Landkreis",81.6
31,2025,08326,"      Schwarzwald-Baar-Kreis, Landkreis",78.5
32,2025,08327,"      Tuttlingen, Landkreis",70.8
33,2025,08335,"      Konstanz, Landkreis",78.6
35,2025,08337,"      Waldshut, Landkreis",68.2
36,2025,08415,"      Reutlingen, Landkreis",67.1
37,2025,08416,"      Tübingen, Landkreis",78.1
38,2025,08417,"      Zollernalbkreis, Landkreis",62.8
40,2025,08425,"      Alb-Donau-Kreis, Landkreis",81.3
41,2025,08426,"      Biberach, Landkreis",91.4
42,2025,08435,"      Bodenseekreis, Landkreis",71.6
43,2025,08436,"      Ravensburg, Landkreis",83.9
44,2025,08437,"      Sigmaringen, Landkreis",85.7
47,2024,08115,"      Böblingen, Landkreis",71.0
48,2024,08116,"      Esslingen, Landkreis",61.4
49,2024,08117,"      Göppingen, Landkreis",69.8
50,2024,08118,"      Ludwigsburg, Landkreis",63.6
51,2024,08119,"      Rems-Murr-Kreis, Landkreis",60.5
53,2024,08125,"      Heilbronn, Landkreis",71.0
54,2024,08126,"      Hohenlohekreis, Landkreis",64.0
55,2024,08127,"      Schwäbisch Hall, Landkreis",72.0
56,2024,08128,"      Main-Tauber-Kreis, Landkreis",64.8
57,2024,08135,"      Heidenheim, Landkreis",65.0
58,2024,08136,"      Ostalbkreis, Landkreis",59.2
59,2024,08211,"      Baden-Baden, Stadtkreis",
61,2024,08215,"      Karlsruhe, Landkreis",60.3
62,2024,08216,"      Rastatt, Landkreis",47.1
65,2024,08225,"      Neckar-Odenwald-Kreis, Landkreis",61.4
66,2024,08226,"      Rhein-Neckar-Kreis, Landkreis",66.6
68,2024,08235,"      Calw, Landkreis",64.1
69,2024,08236,"      Enzkreis, Landkreis",68.8
70,2024,08237,"      Freudenstadt, Landkreis",72.9
72,2024,08315,"      Breisgau-Hochschwarzwald, Landkreis",82.6
73,2024,08316,"      Emmendingen, Landkreis",65.6
74,2024,08317,"      Ortenaukreis, Landkreis",54.7
75,2024,08325,"      Rottweil, Landkreis",79.9
76,2024,08326,"      Schwarzwald-Baar-Kreis, Landkreis",76.4
77,2024,08327,"      Tuttlingen, Landkreis",71.2
78,2024,08335,"      Konstanz, Landkreis",56.7
80,2024,08337,"      Waldshut, Landkreis",67.2
81,2024,08415,"      Reutlingen, Landkreis",56.9
82,2024,08416,"      Tübingen, Landkreis",68.8
83,2024,08417,"      Zollernalbkreis, Landkreis",50.1
85,2024,08425,"      Alb-Donau-Kreis, Landkreis",68.7
86,2024,08426,"      Biberach, Landkreis",64.1
88,2024,08436,"      Ravensburg, Landkreis",65.5
89,2024,08437,"      Sigmaringen, Landkreis",64.8
92,2023,08115,"      Böblingen, Landkreis",75.4
93,2023,08116,"      Esslingen, Landkreis",74.4
94,2023,08117,"      Göppingen, Landkreis",66.3
95,2023,08118,"      Ludwigsburg, Landkreis",71.2
96,2023,08119,"      Rems-Murr-Kreis, Landkreis",71.1
98,2023,08125,"      Heilbronn, Landkreis",81.5
99,2023,08126,"      Hohenlohekreis, Landkreis",65.1
100,2023,08127,"      Schwäbisch Hall, Landkreis",71.0
101,2023,08128,"      Main-Tauber-Kreis, Landkreis",64.8
102,2023,08135,"      Heidenheim, Landkreis",74.6
103,2023,08136,"      Ostalbkreis, Landkreis",66.7
106,2023,08215,"      Karlsruhe, Landkreis",70.1
107,2023,08216,"      Rastatt, Landkreis",64.9
110,2023,08225,"      Neckar-Odenwald-Kreis, Landkreis",67.9
111,2023,08226,"      Rhein-Neckar-Kreis, Landkreis",77.7
113,2023,08235,"      Calw, Landkreis",77.8
114,2023,08236,"      Enzkreis, Landkreis",78.6
115,2023,08237,"      Freudenstadt, Landkreis",70.8
117,2023,08315,"      Breisgau-Hochschwarzwald, Landkreis",83.1
118,2023,08316,"      Emmendingen, Landkreis",74.7
119,2023,08317,"      Ortenaukreis, Landkreis",79.8
120,2023,08325,"      Rottweil, Landkreis",74.7
122,2023,08327,"      Tuttlingen, Landkreis",71.0
123,2023,08335,"      Konstanz, Landkreis",60.9
125,2023,08337,"      Waldshut, Landkreis",82.5
126,2023,08415,"      Reutlingen, Landkreis",64.5
127,2023,08416,"      Tübingen, Landkreis",73.1
128,2023,08417,"      Zollernalbkreis, Landkreis",58.6
130,2023,08425,"      Alb-Donau-Kreis, Landkreis",77.3
131,2023,08426,"      Biberach, Landkreis",80.7
132,2023,08435,"      Bodenseekreis, Landkreis",79.5
133,2023,08436,"      Ravensburg, Landkreis",81.2
134,2023,08437,"      Sigmaringen, Landkreis",82.5
137,2022,08115,"      Böblingen, Landkreis",81.9
138,2022,08116,"      Esslingen, Landkreis",91.2
139,2022,08117,"      Göppingen, Landkreis",82.5
140,2022,08118,"      Ludwigsburg, Landkreis",73.5
141,2022,08119,"      Rems-Murr-Kreis, Landkreis",63.1
143,2022,08125,"      Heilbronn, Landkreis",76.8
144,2022,08126,"      Hohenlohekreis, Landkreis",65.4
145,2022,08127,"      Schwäbisch Hall, Landkreis",75.8
146,2022,08128,"      Main-Tauber-Kreis, Landkreis",61.7
147,2022,08135,"      Heidenheim, Landkreis",69.2
148,2022,08136,"      Ostalbkreis, Landkreis",78.5
151,2022,08215,"      Karlsruhe, Landkreis",75.9
